id,email,name,date_of_birth,gender,mobile_number,father_name,father_mobile,mother_name,mother_mobile,guardian_name,guardian_mobile,present_address_line1,present_address_line2,present_state,present_city,present_pin_code,permanent_address_line1,permanent_address_line2,permanent_state,permanent_city,permanent_pin_code,cet_application_id,cet_rank,course,category,is_pwd,pwd_details,is_ews,is_religious_minority,religious_minority_details,created_at,updated_at
a1b2c3d4-e5f6-4a56-8b78-123456789abc,rajesh.sharma@gmail.com,Rajesh Sharma,1998-05-12,Male,9876543210,Mahesh Sharma,9876543211,Neha Sharma,9876543212,,,22 Shivaji Nagar,Near City Hospital,Maharashtra,Pune,411005,22 Shivaji Nagar,Near City Hospital,Maharashtra,Pune,411005,MCA2025001,15,mca,general,false,,false,false,,2025-01-15T10:30:45Z,2025-01-15T10:30:45Z
b2c3d4e5-f6a7-4b89-9c01-234567890def,priya.patel@gmail.com,Priya Patel,1999-08-23,Female,9876543213,Dinesh Patel,9876543214,Sunita Patel,9876543215,,,45 MG Road,Opposite Railway Station,Maharashtra,Mumbai,400001,45 MG Road,Opposite Railway Station,Maharashtra,Mumbai,400001,MCA2025002,22,mca,general,false,,false,false,,2025-01-15T11:15:30Z,2025-01-15T11:15:30Z
c3d4e5f6-a7b8-4c90-8d12-345678901fed,amit.desai@gmail.com,Amit Desai,1997-11-30,Male,9876543216,Prakash Desai,9876543217,Sunanda Desai,9876543218,,,78 Laxmi Road,Near Dagdusheth Temple,Maharashtra,Pune,411002,78 Laxmi Road,Near Dagdusheth Temple,Maharashtra,Pune,411002,MCA2025003,35,mca,general,false,,true,false,,2025-01-15T12:05:20Z,2025-01-15T12:05:20Z
d4e5f6a7-b8c9-4d01-9e23-456789012abc,neha.joshi@gmail.com,Neha Joshi,1998-02-15,Female,9876543219,Vinod Joshi,9876543220,Meena Joshi,9876543221,,,12 Kothrud,Near MIT College,Maharashtra,Pune,411038,12 Kothrud,Near MIT College,Maharashtra,Pune,411038,MCA2025004,48,mca,general,false,,false,false,,2025-01-15T13:25:10Z,2025-01-15T13:25:10Z
e5f6a7b8-c9d0-4e12-8f34-567890123def,karan.singh@gmail.com,Karan Singh,1999-04-05,Male,9876543222,Hardeep Singh,9876543223,Jaspreet Singh,9876543224,,,34 Deccan,Near Fergusson College,Maharashtra,Pune,411004,34 Deccan,Near Fergusson College,Maharashtra,Pune,411004,MCA2025005,55,mca,general,false,,false,false,,2025-01-15T14:10:35Z,2025-01-15T14:10:35Z
f6a7b8c9-d0e1-4f23-9a45-678901234fed,pooja.gupta@gmail.com,Pooja Gupta,1998-09-18,Female,9876543225,Sanjay Gupta,9876543226,Anita Gupta,9876543227,,,56 Shastri Nagar,Behind Town Hall,Maharashtra,Nagpur,440010,56 Shastri Nagar,Behind Town Hall,Maharashtra,Nagpur,440010,MCA2025006,65,mca,general,false,,false,false,,2025-01-15T15:30:25Z,2025-01-15T15:30:25Z
a7b8c9d0-e1f2-4a34-8b56-789012345abc,ravi.jadhav@gmail.com,Ravi Jadhav,1997-07-22,Male,9876543228,Sunil Jadhav,9876543229,Lata Jadhav,9876543230,,,89 Sadar,Near Military Hospital,Maharashtra,Nagpur,440001,89 Sadar,Near Military Hospital,Maharashtra,Nagpur,440001,MCA2025007,130,mca,obc,false,,false,false,,2025-01-16T09:45:15Z,2025-01-16T09:45:15Z
b8c9d0e1-f2a3-4b45-9c67-890123456def,sangeeta.more@gmail.com,Sangeeta More,1998-12-10,Female,9876543231,Prakash More,9876543232,Vaishali More,9876543233,,,23 Gandhi Nagar,Near Central Park,Maharashtra,Aurangabad,431001,23 Gandhi Nagar,Near Central Park,Maharashtra,Aurangabad,431001,MCA2025008,215,mca,obc,false,,false,false,,2025-01-16T10:20:40Z,2025-01-16T10:20:40Z
c9d0e1f2-a3b4-4c56-8d78-901234567fed,vikram.pawar@gmail.com,Vikram Pawar,1999-03-25,Male,9876543234,Deepak Pawar,9876543235,Anjali Pawar,9876543236,,,67 Civil Lines,Near District Court,Maharashtra,Solapur,413001,67 Civil Lines,Near District Court,Maharashtra,Solapur,413001,MCA2025009,310,mca,obc,false,,false,false,,2025-01-16T11:05:55Z,2025-01-16T11:05:55Z
d0e1f2a3-b4c5-4d67-9e89-012345678abc,kavita.salvi@gmail.com,Kavita Salvi,1997-06-14,Female,9876543237,Ramesh Salvi,9876543238,Sheela Salvi,9876543239,,,45 Model Colony,Near Aundh Road,Maharashtra,Pune,411016,45 Model Colony,Near Aundh Road,Maharashtra,Pune,411016,MCA2025010,420,mca,obc,false,,false,false,,2025-01-16T12:30:15Z,2025-01-16T12:30:15Z
